ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20
490.14,427.39,291.89,128.55,180.47,251.19,301.65,145.67,195.77,49.07,89.79,146.57,158.72,97.4,363.37,7.53,404.87,422.21,86.93,104.13
246.28,250.2,276.61,345.55,217.76,225.33,184.62,37.48,143.56,48.41,13.56,484.27,102.88,67.08,206.24,484.78,143.8,442.9,284.36,464.42
442.38,148.54,25.0,278.91,418.89,339.21,23.39,37.34,271.32,60.96,223.04,37.63,125.67,9.05,443.62,450.7,325.94,382.59,369.37,118.35
84.93,185.1,435.19,347.05,282.16,19.02,51.63,400.87,348.85,87.7,18.74,136.34,274.31,254.36,480.88,0.08,50.98,303.55,164.96,383.24
4.16,236.55,214.17,58.6,199.05,111.79,487.22,158.18,196.63,243.25,220.83,53.73,463.35,95.01,19.88,413.48,125.91,73.87,7.12,371.36
300.09,186.23,375.97,165.24,24.72,403.02,390.23,25.89,354.14,235.01,81.68,255.87,297.75,30.86,63.03,427.01,288.63,132.03,88.59,396.29
53.66,122.71,386.75,343.56,158.46,187.32,310.47,401.97,274.97,432.69,293.05,328.26,425.27,363.71,32.01,475.72,255.83,87.29,418.82,433.05
94.69,365.16,123.96,165.46,57.91,11.36,45.78,451.67,367.33,71.6,331.74,211.48,4.13,177.3,464.2,391.6,369.33,377.0,27.14,197.55
321.27,367.41,449.22,345.87,29.02,463.2,438.0,400.45,17.78,142.63,143.87,251.07,88.43,217.4,283.28,342.59,41.38,250.08,13.46,9.86
439.07,283.71,395.75,372.87,117.41,323.53,203.64,285.62,355.5,34.85,90.08,171.08,69.0,425.2,341.46,415.86,196.22,171.47,345.19,364.37
195.21,491.07,117.68,379.18,371.17,237.64,159.77,367.91,450.51,436.62,256.29,397.27,95.89,493.16,51.45,472.08,470.08,66.28,359.37,275.31
268.87,147.59,195.72,133.16,472.63,147.04,309.45,305.71,423.45,72.72,494.73,437.3,450.98,156.49,206.22,409.07,217.23,475.68,391.6,345.26
205.5,147.47,211.52,209.73,363.83,46.76,268.39,243.22,4.08,161.61,111.54,140.58,266.26,68.79,158.61,50.99,249.29,322.04,133.65,50.89
344.34,423.5,181.59,210.46,72.92,474.24,158.02,197.3,143.75,18.07,385.72,250.17,392.65,180.01,396.73,372.69,35.54,317.87,5.4,499.74
468.36,424.63,19.31,485.96,73.27,131.22,442.08,87.07,109.81,294.54,279.11,79.85,159.48,497.48,71.4,85.54,478.54,83.29,222.12,486.57
201.96,305.82,299.38,51.34,368.48,278.43,36.19,486.25,250.36,394.81,15.81,78.71,9.46,488.6,146.21,79.39,354.99,51.1,236.15,240.72
129.27,198.88,207.82,118.48,257.85,311.88,275.87,3.31,278.92,435.82,427.78,120.66,312.0,41.51,358.9,140.21,193.33,267.26,466.6,244.42
34.54,381.45,411.79,125.26,349.97,130.97,130.13,460.13,338.94,306.38,462.55,221.21,19.77,254.07,196.72,43.4,266.08,152.56,368.46,485.45
431.99,289.62,448.73,481.09,349.64,381.28,459.73,298.74,407.65,85.18,158.78,150.4,127.4,303.23,387.94,310.42,8.33,418.46,394.81,198.57
163.25,318.74,324.18,370.19,293.09,439.93,11.85,106.48,65.59,38.67,318.74,473.47,56.63,314.08,181.37,413.21,86.17,132.78,307.81,177.08
288.13,211.38,134.75,335.27,349.47,388.13,209.57,38.46,362.77,48.35,255.62,289.53,59.27,138.65,7.41,173.49,213.41,384.85,13.29,452.64
43.62,260.17,421.52,334.72,80.8,400.04,93.71,309.92,34.13,39.31,33.53,410.19,307.32,210.44,266.68,441.15,33.83,140.74,460.63,198.62
280.79,64.89,390.33,480.58,252.6,241.22,144.85,109.69,30.61,209.46,282.29,108.44,177.47,416.11,318.16,448.2,24.11,108.98,176.18,409.13
496.02,49.98,71.16,316.73,15.65,338.27,404.04,267.03,312.65,181.23,389.39,152.32,283.9,133.4,345.78,110.42,267.17,402.87,261.03,119.4
141.94,396.35,228.19,131.02,290.67,251.04,224.78,172.86,52.59,30.65,100.45,477.96,424.65,92.65,237.13,140.73,419.7,338.71,279.98,265.04
385.26,284.28,40.12,320.65,316.28,375.41,99.75,436.76,475.4,124.06,226.06,23.76,30.74,227.56,303.88,312.27,333.37,45.52,318.12,343.39
455.53,429.57,431.15,163.82,333.65,33.47,488.32,278.12,150.59,204.15,332.61,372.27,201.82,135.09,219.53,26.37,499.07,100.1,396.48,243.68
385.13,262.92,227.84,475.6,299.35,260.95,452.99,395.56,304.62,125.82,168.99,288.45,343.64,262.73,180.37,193.05,176.55,188.57,80.94,306.18
22.16,27.39,140.13,243.88,53.39,33.87,206.66,63.64,45.9,201.31,171.5,408.84,112.39,422.78,392.19,51.58,381.2,70.32,421.8,297.49
377.96,430.38,152.98,310.22,436.54,221.41,241.33,174.07,491.26,53.91,306.56,426.58,140.16,180.16,441.49,147.47,292.98,112.41,189.59,466.65
152.85,73.26,210.18,362.49,380.83,171.15,365.63,293.18,391.74,314.98,485.58,209.96,145.27,30.78,220.66,125.31,394.37,111.61,416.61,262.5
49.93,135.1,386.48,443.52,213.25,112.71,60.59,339.1,373.97,441.34,124.56,222.65,445.94,496.25,71.72,473.25,130.4,194.98,311.1,456.04
270.83,155.14,411.51,311.71,82.75,181.13,326.09,301.95,262.48,122.82,391.46,311.97,356.71,256.67,431.35,365.65,143.6,138.4,26.47,456.04
215.61,293.12,331.7,330.96,258.7,400.04,272.58,317.07,302.65,92.31,18.06,238.65,472.8,57.3,239.51,142.84,159.96,139.83,103.95,394.61
450.06,344.64,309.56,259.21,489.39,356.77,18.27,89.01,8.81,99.41,218.73,135.99,247.35,468.21,95.74,236.18,125.69,252.22,403.96,341.61
387.0,307.08,124.04,479.92,263.19,189.58,38.04,199.02,169.76,40.64,187.7,156.24,107.55,74.08,14.05,375.98,190.9,359.62,468.95,479.63
444.87,195.48,172.75,83.86,205.92,119.03,383.7,7.86,125.04,106.51,165.06,85.95,226.08,161.71,101.6,70.35,413.51,52.88,5.6,10.5
