ATTR1,ATTR2,ATTR3,ATTR4
9.73,99.17,78.14,37.8
9.67,72.69,23.18,17.26
23.94,57.56,55.6,83.16
27.58,42.7,44.46,20.81
84.66,50.88,40.44,34.14
30.58,59.19,21.65,5.94
68.29,59.67,70.97,86.83
75.35,16.36,51.97,55.81
64.55,77.82,29.13,70.49
11.89,76.43,9.86,68.3
57.95,28.56,25.66,28.78
42.42,58.59,76.65,71.22
35.82,69.12,67.4,44.02
64.64,0.1,22.94,34.05
96.67,78.68,46.43,86.23
68.15,40.46,49.55,43.75
99.42,32.62,38.17,12.25
82.16,24.83,59.93,15.2
62.45,27.13,93.3,90.39
58.03,67.37,97.82,24.63
82.67,36.25,32.5,24.81
64.71,29.43,45.6,87.28
30.51,53.36,38.27,56.3
25.32,86.95,83.31,41.52
48.45,49.43,71.55,92.55
95.04,46.58,82.75,95.44
43.22,41.67,47.53,63.7
94.1,4.55,85.24,48.9
92.93,79.37,22.52,72.86
63.44,36.69,83.44,99.99
92.82,5.58,55.0,21.2
25.91,15.35,23.84,48.34
81.97,62.61,96.26,97.26
28.42,8.15,80.77,26.99
84.92,12.79,35.62,60.3
17.88,1.37,90.86,91.06
84.7,39.54,23.55,91.59
71.99,72.73,8.28,32.92
71.37,43.71,98.4,68.55
61.6,22.24,22.11,58.8
57.97,91.28,66.4,81.09
53.43,0.11,87.34,93.26
94.04,68.23,8.18,77.14
27.68,7.89,23.57,83.58
58.88,58.22,5.01,84.02
45.18,15.65,71.05,90.31
72.81,3.39,44.02,40.77
59.99,80.67,71.66,45.62
26.79,16.08,47.57,20.07
67.08,61.79,7.58,70.7
35.26,31.25,86.67,37.5
16.97,82.23,58.65,44.56
34.93,72.45,73.92,61.7
63.69,27.47,79.9,63.41
82.48,69.3,53.57,94.97
26.8,34.12,61.49,32.27
97.66,20.38,70.17,24.32
24.64,74.87,63.61,55.62
19.66,53.77,46.97,99.46
18.48,44.29,21.51,63.82
69.01,23.04,94.3,49.18
61.89,45.14,58.12,17.03
85.57,62.2,74.96,21.41
90.02,41.94,10.58,96.99
9.19,79.51,25.39,42.45
69.62,76.47,10.14,92.07
4.23,35.12,90.39,41.64
15.06,13.2,33.77,58.22
72.68,30.23,5.04,26.57
61.58,63.49,13.5,82.18
8.72,25.78,2.48,45.32
98.05,45.2,51.15,74.56
71.2,59.92,44.24,10.9
68.8,14.17,51.78,22.21
69.6,10.88,71.8,96.77
93.13,38.06,17.81,45.04
91.04,31.3,23.89,57.38
7.08,71.24,72.19,38.27
49.14,19.37,54.77,88.61
6.08,51.35,51.17,84.82
69.87,19.75,86.0,35.29
81.51,2.2,16.71,36.34
3.81,8.21,5.54,21.45
47.12,60.63,20.46,33.35
45.37,91.21,77.52,72.55
17.29,50.14,91.57,59.1
87.58,49.77,10.96,1.93
1.48,76.95,27.21,22.75
40.44,11.77,6.69,24.33
44.5,80.57,27.08,7.24
13.51,64.84,90.84,70.87
27.7,71.57,95.59,11.12
42.85,23.58,18.14,27.29
68.91,61.81,89.49,80.57
13.24,34.36,60.72,92.34
40.51,36.55,86.42,27.46
63.37,93.35,76.87,47.93
88.4,24.02,57.86,26.03
56.55,2.06,95.27,36.12
92.49,31.1,1.58,1.83
41.48,77.36,30.16,96.4
33.4,99.69,26.75,36.01
2.02,91.29,61.71,53.57
46.29,5.59,84.37,18.1
16.59,63.75,61.82,38.99
15.4,61.95,39.65,98.17
2.56,34.66,81.21,5.69
13.24,61.01,16.99,6.22
70.77,5.46,33.61,17.24
51.39,43.45,17.38,65.46
41.25,4.91,49.04,65.16
96.16,32.03,65.12,23.74
91.78,84.27,81.05,25.01
88.5,48.58,25.02,90.79
77.97,66.74,2.75,67.72
22.18,71.57,6.59,42.87
1.19,75.2,3.42,91.18
60.35,31.32,28.41,40.11
19.52,54.06,97.95,87.99
57.57,26.96,62.44,47.01
81.86,70.69,33.96,26.08
15.55,49.46,58.88,69.61
87.16,73.18,98.26,68.95
5.57,8.12,81.58,61.83
27.28,38.01,75.3,93.65
58.23,65.24,71.48,31.09
47.61,48.92,47.7,6.77
92.45,73.68,69.74,80.32
40.23,76.66,82.95,17.33
14.59,67.89,18.39,37.11
70.69,99.59,39.19,21.7
87.31,66.26,76.59,92.72
10.15,31.5,71.09,4.17
71.08,58.64,66.15,57.72
98.82,90.63,44.61,3.09
92.27,2.17,69.9,51.64
40.25,28.96,12.68,36.51
52.32,60.7,60.52,12.16
40.51,54.4,54.97,87.23
2.27,68.3,59.47,68.59
33.23,78.78,71.51,41.38
51.83,28.42,39.04,85.24
51.82,21.04,3.37,25.58
50.19,88.62,29.7,20.37
96.32,33.89,21.6,68.9
10.33,37.56,5.02,5.2
60.03,56.94,91.59,37.54
88.45,83.42,11.81,46.29
86.04,24.6,33.63,46.78
87.33,65.95,95.41,43.47
68.41,29.4,4.52,70.03
59.53,62.05,99.6,39.12
16.45,84.42,65.47,66.74
59.17,96.51,83.7,20.7
63.79,81.4,65.37,65.44
37.82,89.49,78.62,92.54
27.62,36.26,23.73,80.41
33.69,49.18,9.53,65.26
48.62,68.23,2.64,48.87
82.75,18.66,48.14,34.91
0.48,96.39,53.61,55.25
33.14,99.79,69.26,23.9
28.91,86.69,7.87,43.91
27.52,46.82,21.89,68.98
85.44,89.22,0.99,88.05
43.91,60.14,18.93,52.17
69.5,37.76,93.02,98.63
5.37,37.08,26.68,78.9
44.6,39.52,25.9,45.44
10.16,66.42,58.55,61.33
17.12,57.86,25.32,59.65
48.8,33.57,18.04,18.5
5.67,39.58,29.4,32.01
63.65,91.65,73.77,8.46
63.92,56.07,7.22,61.0
56.25,24.56,71.82,0.92
89.61,9.09,38.07,50.79
35.85,52.9,26.53,19.65
5.94,96.01,86.63,81.86
97.94,34.67,49.57,17.56
27.29,48.92,98.09,7.63
45.67,31.14,43.48,86.85
37.73,21.3,44.31,95.0
33.45,55.56,42.36,28.35
65.54,74.58,3.26,35.48
66.11,55.34,47.55,86.42
25.96,91.31,80.36,58.28
32.17,74.65,95.11,45.94
28.64,76.28,54.09,98.97
94.97,30.24,19.66,86.49
14.91,24.1,82.2,16.23
76.39,88.49,69.14,87.34
52.52,90.92,61.8,8.08
21.15,19.52,1.86,5.81
64.28,22.01,76.69,46.37
82.69,12.79,71.38,62.52
19.51,90.88,10.87,4.92
78.23,56.21,85.18,27.78
99.6,46.78,94.63,83.94
86.43,60.97,13.12,3.29
51.08,28.22,66.2,34.9
70.41,41.9,78.86,7.12
36.7,94.13,56.7,28.12
13.73,73.0,99.3,80.64
1.16,27.24,25.62,62.4
8.56,90.06,9.89,76.13
45.08,77.8,73.0,23.56
62.12,19.15,22.68,45.43
67.2,65.21,18.63,56.73
84.56,13.86,8.92,72.96
