ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR30,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR40,ATTR41,ATTR42,ATTR43,ATTR44,ATTR45,ATTR46,ATTR47,ATTR48,ATTR49,ATTR50
947.24,571.46,280.09,891.02,805.85,763.67,685.65,972.82,109.12,436.56,889.58,385.69,917.69,136.68,96.53,96.91,654.76,215.53,521.86,495.59,181.11,266.35,377.3,457.94,9.0,887.62,723.63,928.28,992.13,122.66,153.42,13.08,213.8,599.36,358.42,198.08,198.15,444.16,587.66,737.15,268.58,967.49,2.72,743.13,302.98,898.24,712.49,281.83,144.74,232.04
186.91,512.43,355.79,18.38,377.87,884.02,59.7,951.71,760.51,156.38,333.6,501.62,857.9,929.68,367.43,581.47,137.11,123.59,88.26,305.46,257.9,25.08,212.05,631.62,695.93,806.53,415.39,781.65,545.52,62.28,818.1,984.86,468.63,906.7,891.5,311.27,643.36,86.4,226.25,12.36,572.38,532.95,288.8,503.17,291.23,108.31,558.22,441.31,600.03,202.84
405.96,467.25,516.39,459.43,604.7,536.23,581.86,581.14,978.8,635.24,418.94,903.5,907.16,305.36,943.15,115.5,318.23,181.36,737.96,406.27,504.44,193.55,707.8,435.11,273.72,437.97,976.82,440.49,197.9,136.67,841.66,689.87,963.99,200.18,795.34,103.11,286.5,106.15,83.16,892.46,343.83,12.47,666.04,216.69,108.97,389.22,643.78,810.62,617.68,263.23
357.41,65.54,684.34,445.67,64.69,585.96,214.39,595.74,795.39,262.24,860.12,522.21,640.63,89.08,425.78,89.95,855.22,636.12,497.02,358.21,952.92,544.47,233.27,859.79,905.65,243.25,332.4,198.52,787.54,613.09,120.2,943.04,184.27,651.14,774.34,587.46,840.96,766.09,925.05,756.54,356.25,96.72,490.98,347.48,554.67,180.56,965.4,773.82,483.41,78.03
256.21,25.45,360.9,344.48,649.82,12.83,825.33,410.61,640.53,80.87,999.96,806.88,628.38,128.83,243.9,669.41,79.56,604.51,534.86,727.72,941.82,315.24,777.55,631.37,909.43,819.45,32.75,685.02,6.7,505.46,440.6,470.18,103.01,666.03,907.78,943.99,406.0,936.37,100.81,696.42,687.38,917.3,288.02,271.14,266.2,578.56,884.37,49.15,358.68,209.45
839.71,103.07,105.87,51.76,491.88,429.66,974.83,933.52,43.47,682.8,891.92,578.52,684.72,145.2,901.59,716.67,457.7,127.94,243.11,278.91,489.89,389.37,394.84,21.7,944.4,687.57,676.13,610.78,261.58,427.1,303.66,815.49,385.16,111.72,75.71,901.21,185.51,281.2,7.85,335.5,192.72,111.91,804.04,737.5,756.31,44.18,690.82,57.5,476.32,78.25
193.89,240.32,73.44,371.41,362.65,293.28,549.15,145.91,62.57,136.66,583.35,629.06,115.96,15.67,470.86,468.2,527.19,861.43,698.53,680.88,191.43,490.2,909.38,489.55,883.11,874.71,172.38,164.03,366.8,895.77,595.27,945.5,846.56,286.5,633.31,422.04,894.24,604.07,82.29,563.55,87.49,337.25,811.47,164.71,436.82,591.26,430.4,180.0,737.44,163.9
410.31,350.86,509.1,614.07,59.14,449.05,864.07,392.93,971.56,736.49,916.02,313.16,486.01,429.75,728.96,360.32,665.34,132.21,496.9,771.85,409.23,584.5,971.76,403.51,672.73,257.43,415.63,828.89,438.83,948.94,311.24,78.18,769.56,103.62,100.65,700.24,117.55,66.25,656.77,740.39,344.06,253.2,897.38,866.38,186.55,141.58,365.23,60.1,756.39,460.59
292.18,204.44,813.35,107.26,957.29,972.14,508.54,543.32,474.0,309.83,125.47,212.93,503.28,48.58,943.89,484.92,509.89,796.61,142.01,69.52,253.34,478.8,105.67,849.96,890.75,253.16,95.41,239.09,363.65,96.99,65.48,676.45,898.21,690.13,374.44,169.74,331.67,355.93,295.5,531.19,164.29,503.04,604.57,991.07,237.64,295.99,888.91,893.85,850.41,90.06
103.53,44.31,833.24,994.24,991.68,331.15,701.87,317.15,956.79,314.19,803.51,11.56,231.32,105.88,938.98,574.59,418.98,867.15,318.29,211.9,62.66,366.83,76.62,547.59,109.53,790.11,967.19,514.49,293.37,924.46,793.15,50.65,466.31,544.5,159.63,791.98,654.74,709.25,591.15,412.08,185.74,240.72,782.02,27.84,793.4,513.82,650.91,571.03,750.81,539.95
