ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10
694.75,7.88,312.37,299.66,295.79,186.06,287.85,752.49,469.29,247.64
168.29,302.2,65.28,827.78,56.85,697.82,905.36,769.51,42.48,834.13
867.12,593.09,945.98,425.05,165.19,147.28,109.38,782.59,591.14,311.27
785.13,170.97,395.95,92.0,370.84,752.21,694.93,627.7,544.65,967.83
254.36,72.34,299.8,71.73,447.1,687.68,533.43,412.16,537.67,177.5
733.43,337.17,239.44,10.83,439.37,889.07,476.37,909.42,47.08,436.96
480.31,767.96,680.28,701.47,911.79,283.57,666.97,158.84,986.78,786.78
846.49,490.29,83.05,148.6,925.03,733.54,416.55,718.68,187.8,491.37
338.85,483.36,114.89,249.04,319.82,595.54,717.75,177.88,399.2,551.24
593.79,189.91,557.72,881.53,24.0,4.27,870.42,106.56,639.09,989.9
532.85,600.01,367.91,883.45,164.6,99.43,574.36,154.8,178.88,849.23
870.07,435.73,317.73,524.47,487.5,935.34,956.91,19.4,258.36,837.37
982.17,33.54,99.95,744.23,14.56,714.63,227.89,836.18,976.6,118.15
563.69,85.69,481.4,675.84,83.14,366.63,962.6,253.59,733.72,663.54
281.43,884.96,539.3,841.85,167.43,962.94,749.69,812.69,576.01,450.76
786.1,786.51,581.14,97.13,825.02,428.58,161.85,485.61,950.17,10.57
426.86,310.95,439.68,804.34,803.13,457.19,762.85,923.89,533.09,421.74
897.11,807.7,47.28,605.94,19.6,29.93,193.77,13.07,986.71,335.53
900.06,9.31,896.43,46.39,91.02,515.09,783.74,916.56,857.0,954.84
81.82,348.91,532.95,751.12,872.06,728.63,299.26,831.41,320.67,779.95
60.56,966.17,211.67,665.13,902.93,152.44,506.98,290.04,393.36,615.18
526.27,279.05,347.24,588.33,343.5,195.45,845.26,151.73,921.77,571.45
922.26,262.83,614.55,171.22,219.15,741.47,732.71,226.08,650.91,963.15
142.02,423.96,208.02,263.23,980.64,659.23,54.39,196.62,851.47,865.31
372.35,189.68,835.25,867.42,14.64,632.76,518.17,119.02,314.52,977.61
412.9,258.29,878.66,870.05,61.32,951.36,29.92,899.63,272.88,377.92
241.31,538.42,794.63,434.28,375.77,410.4,110.04,258.45,942.57,465.2
304.68,831.21,569.94,538.77,961.39,917.8,459.87,805.12,416.57,91.04
524.89,873.81,512.64,422.22,663.11,260.2,618.63,594.83,66.03,587.16
854.59,887.09,717.14,316.13,347.04,535.11,687.54,776.64,886.39,332.54
353.86,731.53,726.53,65.2,74.93,760.8,230.52,721.92,777.55,587.32
539.68,568.01,479.66,515.77,295.0,44.36,723.13,76.06,106.41,887.2
0.25,608.15,934.38,643.09,685.01,928.26,178.67,443.85,110.17,272.04
769.12,669.42,176.03,640.11,721.0,198.39,944.01,977.72,208.78,730.06
540.92,572.77,969.52,23.09,793.8,621.02,427.34,607.04,916.94,554.48
717.71,628.67,401.82,524.77,512.1,713.5,604.02,482.65,853.96,183.18
894.15,693.55,26.05,721.78,713.68,483.98,895.02,782.23,601.93,147.84
998.62,228.76,557.73,725.47,450.71,433.25,443.82,941.87,189.94,129.23
416.91,754.59,615.52,490.86,832.93,737.2,554.2,255.08,49.83,782.91
620.95,374.95,627.67,354.05,824.16,701.53,17.72,83.48,814.65,982.64
874.84,899.31,928.19,873.93,374.97,470.22,402.02,207.5,732.43,73.9
28.7,280.87,586.6,205.66,827.74,503.98,337.31,546.92,353.08,722.99
553.5,387.67,492.35,120.87,917.6,985.97,42.84,979.68,648.86,218.52
404.56,840.62,194.05,461.26,236.35,376.26,13.73,591.12,760.6,613.04
902.69,138.98,728.06,929.2,467.16,540.08,401.49,47.99,788.13,590.38
479.09,702.76,928.77,997.17,110.82,604.5,593.96,19.66,154.12,687.76
349.24,49.54,126.85,822.43,775.8,310.12,345.6,544.97,200.76,607.78
14.73,537.85,827.02,321.92,994.45,216.46,37.18,953.9,951.65,653.18
319.93,402.79,505.9,228.21,686.16,590.62,428.83,865.35,438.19,718.74
263.49,93.44,213.75,267.44,596.68,415.44,739.27,118.72,407.46,127.29
117.96,560.72,419.87,695.56,472.72,949.49,961.91,541.2,306.84,848.65
573.1,877.24,941.61,34.06,643.64,709.23,143.33,33.71,705.35,756.85
440.1,731.8,974.57,63.8,19.18,956.19,106.85,840.43,5.37,414.23
738.13,919.83,278.31,622.45,881.23,457.36,814.47,707.05,821.24,38.86
224.3,860.86,175.72,856.62,315.83,661.32,52.81,551.48,524.5,282.19
60.96,437.82,216.07,433.5,609.16,268.25,558.64,430.3,212.37,129.98
866.85,618.1,269.46,932.36,517.23,764.31,882.18,341.99,883.18,279.37
6.07,219.6,902.93,206.59,653.43,396.45,916.74,248.38,623.38,147.97
811.81,235.75,729.09,29.79,107.19,314.34,948.84,248.44,568.43,838.82
618.43,306.95,223.22,486.04,796.88,59.78,979.95,450.83,394.87,702.31
819.2,745.04,943.83,971.53,700.47,656.38,356.44,220.0,702.42,594.5
139.3,981.73,927.6,950.63,899.23,50.08,48.5,46.85,583.44,84.58
487.82,201.01,306.96,169.96,15.48,889.25,150.2,705.74,313.5,21.15
858.18,19.81,219.66,144.92,898.22,678.44,749.47,457.96,114.93,325.56
525.02,988.63,591.83,958.32,448.11,951.72,512.6,793.69,791.83,665.08
726.52,992.69,766.54,868.48,527.51,353.41,441.67,71.22,941.38,588.2
311.95,41.08,376.18,757.49,300.94,529.6,918.3,373.87,89.58,116.8
140.2,946.71,205.16,578.41,433.72,691.96,876.97,510.46,331.54,933.09
577.72,586.46,433.46,397.21,50.75,173.27,675.26,152.93,735.37,124.43
957.38,232.68,222.36,769.07,720.02,326.88,868.19,191.25,95.38,807.46
156.97,854.55,417.09,991.72,596.13,314.86,501.02,493.0,315.33,243.8
80.3,646.59,367.76,361.94,946.92,78.3,592.94,823.08,552.56,163.23
477.16,771.18,465.33,903.59,554.28,282.42,85.02,741.3,199.59,528.96
987.33,690.5,405.6,90.75,782.54,683.28,583.47,180.11,890.66,213.87
682.46,4.42,526.85,722.5,153.65,688.43,889.59,789.45,242.35,18.04
713.8,318.71,294.8,936.84,467.49,164.95,685.82,980.74,154.81,642.22
842.95,17.78,440.55,709.56,533.28,292.71,607.28,478.5,454.67,147.8
821.69,864.85,577.19,988.51,581.94,321.98,385.91,504.14,332.1,331.71
252.43,858.15,204.78,197.28,146.73,480.88,259.42,859.51,264.98,288.62
717.87,822.41,166.59,307.99,113.21,558.79,669.88,211.97,617.1,671.49
27.36,507.26,614.83,542.79,588.57,644.42,752.17,542.33,748.47,861.35
964.67,654.01,565.97,157.58,376.6,386.4,775.83,566.1,953.39,604.22
100.11,14.09,171.04,574.34,261.21,620.02,484.57,867.58,146.33,451.58
80.1,67.51,755.83,880.53,285.93,935.27,856.81,977.39,999.61,519.6
951.81,905.95,834.54,105.34,767.16,156.24,110.08,658.1,695.88,243.32
528.88,152.38,910.72,982.27,190.85,742.69,671.24,154.72,984.23,325.91
353.82,830.48,834.35,459.22,630.96,708.92,698.16,380.53,151.35,473.51
608.56,672.41,474.29,202.2,474.84,581.3,361.38,808.03,302.65,846.42
876.39,535.51,120.7,126.02,575.57,230.01,969.24,873.1,481.32,295.8
431.54,551.26,20.18,580.64,982.3,975.38,565.89,20.45,468.27,262.6
231.15,857.19,558.52,750.13,670.3,893.53,454.38,215.32,271.61,712.97
437.26,636.8,768.79,810.92,96.69,898.64,684.9,451.58,913.37,503.96
785.9,125.3,621.01,374.62,274.94,45.34,940.5,108.54,656.37,950.77
232.34,434.95,52.92,438.06,188.7,351.93,391.4,457.1,571.53,244.4
843.99,932.42,614.28,298.11,980.63,217.05,408.16,615.63,229.23,366.6
96.93,372.69,825.51,420.71,106.39,762.79,983.04,996.86,742.29,492.1
474.06,987.44,415.3,930.36,886.85,461.29,61.16,119.99,256.43,430.51
357.35,500.66,332.85,450.4,167.72,462.49,810.21,259.2,92.83,295.75
7.19,20.58,663.28,893.84,505.21,357.32,307.67,360.38,765.53,124.07
242.97,485.06,497.45,366.43,857.48,811.46,482.23,206.78,377.16,981.02
993.63,73.89,297.53,893.34,624.97,347.44,461.75,976.2,971.19,679.45
918.3,308.83,512.9,443.89,799.04,454.61,950.63,762.89,801.97,757.3
222.95,775.13,548.32,246.01,409.78,79.95,268.85,840.57,66.05,738.21
687.83,255.19,394.5,586.55,808.93,284.04,993.02,487.98,751.08,204.83
413.05,95.04,524.85,195.56,447.68,274.55,887.6,955.23,287.58,969.74
805.69,195.34,491.87,588.12,354.34,641.24,893.29,762.13,423.94,578.93
828.21,164.38,574.15,79.44,360.9,696.99,209.95,113.5,345.1,386.0
799.16,237.1,622.28,698.91,753.2,66.18,194.4,101.52,261.83,250.92
171.22,393.08,554.63,819.53,346.79,622.29,681.42,810.94,68.75,129.26
717.04,664.69,591.27,735.38,671.78,657.34,253.6,132.83,493.55,561.74
195.75,403.5,526.44,940.28,99.33,727.85,196.33,413.9,159.45,549.17
452.7,592.8,518.59,89.84,62.13,887.99,260.86,615.64,647.44,958.91
71.0,263.53,99.64,715.67,300.49,817.8,865.51,134.39,397.88,738.44
196.95,71.93,908.41,97.7,511.38,905.63,398.04,518.45,837.67,839.65
253.99,308.84,427.12,376.39,938.17,260.11,899.1,619.6,873.89,767.15
113.44,347.16,542.71,362.5,735.27,821.12,597.96,205.96,72.63,954.59
79.49,693.02,880.87,377.13,539.33,578.41,836.94,217.11,874.69,968.87
112.23,68.22,619.32,357.69,235.49,769.71,213.79,597.48,885.64,974.28
702.03,254.65,799.9,405.65,366.07,397.89,109.52,2.53,347.74,229.12
82.02,329.86,973.16,365.8,461.24,900.16,965.81,933.78,336.22,908.14
568.82,650.83,227.08,148.27,285.02,239.94,220.2,820.7,229.33,502.19
408.55,193.72,428.99,533.82,784.68,441.5,195.02,40.77,992.25,200.95
84.67,858.26,426.49,162.06,61.06,393.01,1.04,845.23,812.98,234.49
644.66,549.51,248.87,867.99,741.68,344.75,708.32,564.41,770.32,280.79
121.02,43.68,631.37,430.48,81.03,929.9,723.96,247.48,25.22,101.26
169.0,462.37,969.88,385.13,849.1,733.64,241.35,724.45,491.01,727.89
475.13,701.75,595.48,37.52,306.97,6.57,540.62,738.38,240.89,528.23
723.77,174.93,154.62,679.56,790.24,601.55,744.82,528.26,460.05,471.05
13.85,737.92,188.68,585.51,183.21,553.98,719.88,791.91,760.39,23.14
994.34,344.87,21.58,447.96,139.75,15.02,795.02,128.78,129.22,126.07
187.3,993.23,347.91,232.77,759.97,517.41,721.56,84.6,633.64,449.18
218.21,619.46,603.15,17.05,251.74,48.18,819.75,22.93,707.78,850.23
723.04,61.97,99.35,341.09,315.13,490.75,686.87,657.39,38.93,519.59
218.29,762.54,398.2,726.46,426.35,714.94,376.56,9.06,445.91,328.25
790.4,31.08,280.84,175.4,358.29,728.77,261.88,912.86,94.34,804.82
453.68,408.18,147.35,388.92,658.72,23.49,218.81,108.16,355.64,426.44
690.61,287.62,416.94,86.18,853.69,281.97,742.08,279.08,321.08,115.89
793.14,860.58,677.94,22.77,950.85,191.93,177.9,986.32,509.15,427.5
1.17,812.76,356.39,46.78,201.08,682.56,352.01,95.93,601.51,560.82
769.43,624.08,401.56,6.97,163.25,452.91,35.58,477.5,379.33,618.94
377.01,515.61,650.88,942.87,703.69,339.0,870.91,15.68,728.29,58.67
496.79,988.56,611.86,303.6,764.23,62.65,898.82,503.24,988.44,532.53
640.37,821.11,783.04,185.75,320.21,265.95,494.47,563.33,151.4,350.73
107.46,189.26,682.16,463.2,41.0,858.85,788.27,436.75,495.38,146.1
